"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,218,"SDN","Sudan",1,"Al Jazirah",1,"Al Kamlin","",NA,"","District","District","",""
2,218,"SDN","Sudan",1,"Al Jazirah",2,"Al Mahagil","",NA,"","District","District","",""
3,218,"SDN","Sudan",1,"Al Jazirah",3,"East al Gazera","",NA,"","District","District","",""
4,218,"SDN","Sudan",1,"Al Jazirah",4,"North al Gazera","",NA,"","District","District","",""
5,218,"SDN","Sudan",1,"Al Jazirah",5,"Sharq al Gazera","",NA,"","District","District","",""
6,218,"SDN","Sudan",1,"Al Jazirah",6,"South al Gazera","",NA,"","District","District","",""
7,218,"SDN","Sudan",1,"Al Jazirah",7,"Um Al Gura","",NA,"","District","District","",""
8,218,"SDN","Sudan",2,"Al Qadarif",8,"Al Faw","",NA,"","District","District","",""
9,218,"SDN","Sudan",2,"Al Qadarif",9,"Al Fushqa","",NA,"","District","District","",""
10,218,"SDN","Sudan",2,"Al Qadarif",10,"Al Gadaref","",NA,"","District","District","",""
11,218,"SDN","Sudan",2,"Al Qadarif",11,"Al Galabat","",NA,"","District","District","",""
12,218,"SDN","Sudan",2,"Al Qadarif",12,"Al Rahd","",NA,"","District","District","",""
13,218,"SDN","Sudan",3,"Blue Nile",13,"Ad Damazin","",NA,"","District","District","",""
14,218,"SDN","Sudan",3,"Blue Nile",14,"Al Kurumik","",NA,"","District","District","",""
15,218,"SDN","Sudan",3,"Blue Nile",15,"Al Roseires","",NA,"","District","District","",""
16,218,"SDN","Sudan",3,"Blue Nile",16,"Baw","",NA,"","District","District","",""
17,218,"SDN","Sudan",3,"Blue Nile",17,"Geissan","",NA,"","District","District","",""
18,218,"SDN","Sudan",4,"Central Darfur",18,"Mukjar","",NA,"","District","District","",""
19,218,"SDN","Sudan",4,"Central Darfur",19,"Zallingi","",NA,"","District","District","",""
20,218,"SDN","Sudan",5,"East Darfur",20,"Al Deain","",NA,"","District","District","",""
21,218,"SDN","Sudan",5,"East Darfur",21,"Nyala","",NA,"","District","District","",""
22,218,"SDN","Sudan",6,"Kassala",22,"Al Gash","",NA,"","District","District","",""
23,218,"SDN","Sudan",6,"Kassala",23,"Hamashkorieb","",NA,"","District","District","",""
24,218,"SDN","Sudan",6,"Kassala",24,"Kassala","",NA,"","District","District","",""
25,218,"SDN","Sudan",6,"Kassala",25,"Nahr Atbara","",NA,"","District","District","",""
26,218,"SDN","Sudan",6,"Kassala",26,"Seteet","",NA,"","District","District","","Steet"
27,218,"SDN","Sudan",7,"Khartoum",27,"Karary","",NA,"","District","District","",""
